Date,Open,High,Low,Close,Adj Close,Volume
2011-01-10,7.724100,7.885000,7.695600,7.827600,7.827600,0
2011-01-17,7.808600,7.940800,7.773400,7.908100,7.908100,0
2011-01-24,7.910100,7.965200,7.840100,7.947700,7.947700,0
2011-01-31,7.914200,7.941800,7.799100,7.824100,7.824100,0
2011-02-07,7.816800,7.962900,7.812600,7.923700,7.923700,0
2011-02-14,7.923700,7.947900,7.740200,7.757400,7.757400,0
2011-02-21,7.761400,7.785200,7.703100,7.750300,7.750300,0
2011-02-28,7.757700,7.792600,7.675300,7.764600,7.764600,0
2011-03-07,7.776300,7.837240,7.721400,7.794900,7.794900,0
2011-03-14,7.789100,7.934100,7.785000,7.917100,7.917100,0
2011-03-21,7.870500,7.926400,7.859100,7.867900,7.867900,0
2011-03-28,7.882200,7.914200,7.795900,7.832300,7.832300,0
2011-04-04,7.801300,7.835100,7.767400,7.812900,7.812900,0
2011-04-11,7.797400,7.914200,7.781700,7.877500,7.877500,0
2011-04-18,7.748700,7.821700,7.742000,7.789300,7.789300,0
2011-04-25,7.788700,7.832000,7.755600,7.763400,7.763400,0
2011-05-02,7.768900,7.973000,7.755000,7.945000,7.945000,0
2011-05-09,7.914800,7.920000,7.778900,7.834300,7.834300,0
2011-05-16,7.846600,7.953300,7.819100,7.862000,7.862000,0
2011-05-23,7.825800,7.876790,7.729500,7.775800,7.775800,0
2011-05-30,7.760100,7.839800,7.718800,7.769100,7.769100,0
2011-06-06,7.800600,7.891090,7.795300,7.858100,7.858100,0
2011-06-13,7.875800,7.908500,7.780400,7.832400,7.832400,0
2011-06-20,7.895500,7.930500,7.765400,7.778000,7.778000,0
2011-06-27,7.789900,7.840000,7.752700,7.803600,7.803600,0
2011-07-04,7.785700,7.793000,7.707000,7.709100,7.709100,0
2011-07-11,7.720700,7.872300,7.707700,7.838200,7.838200,0
2011-07-18,7.864100,7.883400,7.750800,7.778100,7.778100,0
2011-07-25,7.784500,7.787900,7.711000,7.736100,7.736100,0
2011-08-01,7.727900,7.815400,7.627400,7.777700,7.777700,0
2011-08-08,7.829000,7.891000,7.750500,7.875700,7.875700,0
2011-08-15,7.870700,7.887200,7.758800,7.826000,7.826000,0
2011-08-22,7.861000,7.879700,7.754000,7.793500,7.793500,0
2011-08-29,7.764800,7.779800,7.653500,7.704900,7.704900,0
2011-09-05,7.651700,7.729900,7.481200,7.515200,7.515200,0
2011-09-12,7.542500,7.810100,7.521000,7.720000,7.720000,0
2011-09-19,7.682500,7.890500,7.677700,7.875000,7.875000,0
2011-09-26,7.866600,7.900700,7.757000,7.876900,7.876900,0
2011-10-03,7.861000,7.873500,7.773600,7.824500,7.824500,0
2011-10-10,7.802200,7.822000,7.716100,7.740500,7.740500,0
2011-10-17,7.719100,7.760500,7.691500,7.727700,7.727700,0
2011-10-24,7.712100,7.716000,7.650000,7.671900,7.671900,0
2011-10-31,7.676000,7.790300,7.666500,7.724100,7.724100,0
2011-11-07,7.731600,7.774600,7.706200,7.746400,7.746400,0
2011-11-14,7.743100,7.835100,7.724500,7.822100,7.822100,0
2011-11-21,7.827300,7.848400,7.783300,7.845600,7.845600,0
2011-11-28,7.830300,7.863500,7.729200,7.817500,7.817500,0
2011-12-05,7.747900,7.752900,7.672800,7.721900,7.721900,0
2011-12-12,7.685800,7.807500,7.681000,7.804000,7.804000,0
2011-12-19,7.769800,7.795120,7.692700,7.748100,7.748100,0
2011-12-26,7.785100,7.817700,7.733500,7.736700,7.736700,0
2012-01-02,7.736700,7.756100,7.650900,7.651300,7.651300,0
2012-01-09,7.650600,7.717590,7.636200,7.670000,7.670000,0
2012-01-16,7.670400,7.712600,7.631000,7.653500,7.653500,0
2012-01-23,7.652100,7.692700,7.534000,7.652700,7.652700,0
2012-01-30,7.655500,7.683000,7.537000,7.622200,7.622200,0
2012-02-06,7.624400,7.663120,7.469000,7.585100,7.585100,0
2012-02-13,7.585300,7.590400,7.473000,7.489900,7.489900,0
2012-02-20,7.489100,7.532500,7.414000,7.489200,7.489200,0
